150.67636 Framedifference 9   Time 37877
151.94739 Framedifference 7   Time 37884
150.48431 Framedifference 7   Time 37891
149.48865 Framedifference 7   Time 37898
149.08928 Framedifference 7   Time 37905
148.46384 Framedifference 7   Time 37912
146.32152 Framedifference 8   Time 37920
144.41827 Framedifference 8   Time 37928
144.03934 Framedifference 6   Time 37934
144.51295 Framedifference 7   Time 37941
144.25227 Framedifference 8   Time 37949
144.68874 Framedifference 6   Time 37955
142.24057 Framedifference 9   Time 37964
143.88525 Framedifference 6   Time 37970
144.12741 Framedifference 7   Time 37977
145.08391 Framedifference 6   Time 37983
145.88994 Framedifference 7   Time 37990
145.87105 Framedifference 7   Time 37997
146.87961 Framedifference 6   Time 38003
145.54315 Framedifference 8   Time 38011
144.05933 Framedifference 7   Time 38018
142.22015 Framedifference 9   Time 38027
141.47493 Framedifference 7   Time 38034
139.6093 Framedifference 8   Time 38042
138.3347 Framedifference 8   Time 38050
138.13655 Framedifference 7   Time 38057
137.08133 Framedifference 8   Time 38065
138.2871 Framedifference 7   Time 38072
137.98325 Framedifference 7   Time 38079
137.60707 Framedifference 7   Time 38086
135.98134 Framedifference 9   Time 38095
136.35655 Framedifference 7   Time 38102
137.2921 Framedifference 7   Time 38109
136.77173 Framedifference 7   Time 38116
137.31201 Framedifference 7   Time 38123
135.06032 Framedifference 9   Time 38132
134.92911 Framedifference 7   Time 38139
134.764 Framedifference 8   Time 38147
134.60951 Framedifference 7   Time 38154
131.87354 Framedifference 10   Time 38164
131.3204 Framedifference 8   Time 38172
130.61954 Framedifference 8   Time 38180
129.88753 Framedifference 8   Time 38188
127.58648 Framedifference 9   Time 38197
127.79033 Framedifference 8   Time 38205
127.192055 Framedifference 8   Time 38213
127.422455 Framedifference 8   Time 38221
124.81184 Framedifference 10   Time 38231
123.8794 Framedifference 8   Time 38239
122.960526 Framedifference 9   Time 38248
123.37929 Framedifference 8   Time 38256
120.514725 Framedifference 10   Time 38266
119.21183 Framedifference 10   Time 38276
116.83484 Framedifference 10   Time 38286
115.40478 Framedifference 10   Time 38296
115.537636 Framedifference 8   Time 38304
114.993904 Framedifference 9   Time 38313
114.91362 Framedifference 9   Time 38322
113.61815 Framedifference 10   Time 38332
112.62571 Framedifference 10   Time 38342
112.15597 Framedifference 9   Time 38351
111.142914 Framedifference 10   Time 38361
110.65931 Framedifference 9   Time 38370
110.28635 Framedifference 9   Time 38379
110.86238 Framedifference 9   Time 38388
110.02311 Framedifference 10   Time 38398
110.11684 Framedifference 9   Time 38407
109.26101 Framedifference 10   Time 38417
108.167885 Framedifference 10   Time 38427
106.36351 Framedifference 11   Time 38438
104.7782 Framedifference 11   Time 38449
103.0832 Framedifference 12   Time 38461
100.542786 Framedifference 13   Time 38474
98.59881 Framedifference 12   Time 38486
97.38451 Framedifference 12   Time 38498
96.926315 Framedifference 11   Time 38509
95.870094 Framedifference 11   Time 38520
93.8327 Framedifference 13   Time 38533
92.91973 Framedifference 12   Time 38545
92.3085 Framedifference 11   Time 38556
90.6548 Framedifference 14   Time 38570
87.94456 Framedifference 16   Time 38586
(time 38586- lastadded -60)      true
Circle added
85.799034 Framedifference 14   Time 38600
85.08069 Framedifference 13   Time 38613
82.23188 Framedifference 18   Time 38631
81.43431 Framedifference 13   Time 38644
81.013794 Framedifference 13   Time 38657
79.98729 Framedifference 14   Time 38671
78.88664 Framedifference 15   Time 38686
76.129745 Framedifference 19   Time 38705
72.7132 Framedifference 24   Time 38729
71.69718 Framedifference 16   Time 38745
70.362816 Framedifference 17   Time 38762
69.099884 Framedifference 18   Time 38780
67.96957 Framedifference 17   Time 38797
67.274025 Framedifference 17   Time 38814
66.35051 Framedifference 16   Time 38830
66.26451 Framedifference 15   Time 38845
65.56398 Framedifference 17   Time 38862
64.871056 Framedifference 17   Time 38879
64.28722 Framedifference 17   Time 38896
63.984596 Framedifference 17   Time 38913
63.20955 Framedifference 17   Time 38930
62.681633 Framedifference 18   Time 38948
62.113274 Framedifference 17   Time 38965
60.253777 Framedifference 24   Time 38989
59.56575 Framedifference 18   Time 39007
58.09999 Framedifference 23   Time 39030
57.85215 Framedifference 18   Time 39048
57.610462 Framedifference 17   Time 39065
57.267612 Framedifference 19   Time 39084
56.756275 Framedifference 19   Time 39103
56.39802 Framedifference 19   Time 39122
55.775555 Framedifference 20   Time 39142
55.039356 Framedifference 20   Time 39162
54.524563 Framedifference 21   Time 39183
53.75221 Framedifference 21   Time 39204
52.323013 Framedifference 25   Time 39229
52.009987 Framedifference 20   Time 39249
59.986187 Framedifference 9   Time 39258
65.614 Framedifference 8   Time 39266
72.35137 Framedifference 7   Time 39273
76.7962 Framedifference 9   Time 39282
80.89055 Framedifference 8   Time 39290
84.97542 Framedifference 9   Time 39299
84.549805 Framedifference 12   Time 39311
88.176506 Framedifference 8   Time 39319
89.95409 Framedifference 10   Time 39329
92.954285 Framedifference 8   Time 39337
95.713684 Framedifference 8   Time 39345
97.17909 Framedifference 9   Time 39354
98.35667 Framedifference 9   Time 39363
101.14093 Framedifference 8   Time 39371
104.0494 Framedifference 8   Time 39379
105.51719 Framedifference 9   Time 39388
105.47518 Framedifference 9   Time 39397
107.385796 Framedifference 8   Time 39405
108.80864 Framedifference 8   Time 39413
110.62813 Framedifference 8   Time 39421
109.78842 Framedifference 10   Time 39431
